,date,permno,ret,prc,shrout
2873115,2000-01-31,10104,-0.10847741365432739,49.953125,2847344.0
2883897,2000-02-29,10104,0.4863934814929962,74.25,2838409.0
2891757,2000-03-31,10104,0.0513468012213707,78.0625,2838409.0
2897954,2000-04-28,10104,0.024019215255975723,79.9375,2838409.0
2911756,2000-05-31,10104,-0.10086004436016083,71.875,2807572.0
2915580,2000-06-30,10104,0.16956521570682526,84.0625,2807572.0
2926717,2000-07-31,10104,-0.10557620972394943,75.1875,2814917.0
2934552,2000-08-31,10104,0.2094763070344925,90.9375,2821650.0
2941700,2000-09-29,10104,-0.1340206116437912,78.75,2821650.0
2951473,2000-10-31,10104,-0.16190476715564728,33.0,5643300.0
2955901,2000-11-30,10104,-0.19696970283985138,26.5,5580988.0
2966498,2000-12-29,10104,0.09669811278581619,29.0625,5585918.0
2974222,2001-01-31,10104,0.0021505376789718866,29.125,5585918.0
2985893,2001-02-28,10104,-0.3476394712924957,19.0,5609970.0
2990825,2001-03-30,10104,-0.21157896518707275,14.979999542236328,5613575.0
3003603,2001-04-30,10104,0.07877171784639359,16.15999984741211,5613575.0
3013144,2001-05-31,10104,-0.053217802196741104,15.300000190734863,5592361.0
3020555,2001-06-29,10104,0.24183005094528198,19.0,5592361.0
3024472,2001-07-31,10104,-0.04842105507850647,18.079999923706055,5598702.0
3036170,2001-08-31,10104,-0.32466813921928406,12.210000038146973,5558917.0
3039496,2001-09-28,10104,0.030303020030260086,12.579999923706055,5561669.0
3049846,2001-10-31,10104,0.07790146768093109,13.5600004196167,5561669.0
3055197,2001-11-30,10104,0.034660715609788895,14.029999732971191,5496055.0
3066610,2001-12-31,10104,-0.01568063534796238,13.8100004196167,5497177.0
3074097,2002-01-31,10104,0.24981895089149475,17.260000228881836,5497177.0
3077411,2002-02-28,10104,-0.03707991912961006,16.6200008392334,5490341.0
3084074,2002-03-28,10104,-0.22984358668327332,12.800000190734863,5491217.0
3092934,2002-04-30,10104,-0.21562501788139343,10.039999961853027,5491217.0
3105960,2002-05-31,10104,-0.21115536987781525,7.920000076293945,5431000.0
3107699,2002-06-28,10104,0.19570709764957428,9.470000267028809,5431000.0
3120314,2002-07-31,10104,0.056916531175374985,10.008999824523926,5433193.0
3128660,2002-08-30,10104,-0.04186229035258293,9.59000015258789,5356000.0
3132007,2002-09-30,10104,-0.18039624392986298,7.860000133514404,5355935.0
3138315,2002-10-31,10104,0.2964375913143158,10.1899995803833,5355935.0
3145502,2002-11-29,10104,0.19234545528888702,12.149999618530273,5355935.0
3157092,2002-12-31,10104,-0.11111106723546982,10.800000190734863,5269114.0
3163827,2003-01-31,10104,0.11388884484767914,12.029999732971191,5269114.0
3166341,2003-02-28,10104,-0.005818760953843594,11.960000038146973,5242000.0
3174099,2003-03-31,10104,-0.09289298206567764,10.848999977111816,5242996.0
3181586,2003-04-30,10104,0.09503181278705597,11.880000114440918,5242996.0
3189364,2003-05-30,10104,0.09511785209178925,13.010000228881836,5233000.0
3194137,2003-06-30,10104,-0.07686395198106766,12.010000228881836,5233773.0
3206603,2003-07-31,10104,-0.0016653169877827168,11.989999771118164,5233773.0
3214466,2003-08-29,10104,0.07005839794874191,12.829999923706055,5224000.0
3218881,2003-09-30,10104,-0.12314886599779129,11.25,5226646.0
3223584,2003-10-31,10104,0.06400002539157867,11.970000267028809,5226646.0
3234131,2003-11-28,10104,0.004177125170826912,12.020000457763672,5226000.0
3240346,2003-12-31,10104,0.10066547989845276,13.229999542236328,5227587.0
3245748,2004-01-30,10104,0.047619059681892395,13.859999656677246,5227587.0
3251336,2004-02-27,10104,-0.0714285597205162,12.869999885559082,5195000.0
3262916,2004-03-31,10104,-0.06759905815124512,12.0,5194988.0
3266535,2004-04-30,10104,-0.0625,11.25,5194988.0
3271740,2004-05-28,10104,0.013333299197256565,11.399999618530273,5171000.0
3280982,2004-06-30,10104,0.046491291373968124,11.930000305175781,5170778.0
3289424,2004-07-30,10104,-0.11902766674757004,10.510000228881836,5170778.0
3295073,2004-08-31,10104,-0.05137963220477104,9.970000267028809,5128000.0
3298660,2004-09-30,10104,0.13139411807060242,11.279999732971191,5128466.0
3308804,2004-10-29,10104,0.12234044075012207,12.65999984741211,5128466.0
3317546,2004-11-30,10104,0.006319109350442886,12.739999771118164,5104000.0
3322459,2004-12-31,10104,0.07692311704158783,13.720000267028809,5224866.0
3329650,2005-01-31,10104,0.003644328797236085,13.770000457763672,5224866.0
3338492,2005-02-28,10104,-0.05954978987574577,12.949999809265137,5136000.0
3340907,2005-03-31,10104,-0.03629345819354057,12.479999542236328,5141381.0
3350502,2005-04-29,10104,-0.0737178847193718,11.5600004196167,5141381.0
3355983,2005-05-31,10104,0.10726641118526459,12.800000190734863,5145000.0
3367733,2005-06-30,10104,0.031249970197677612,13.199999809265137,5146714.0
3370948,2005-07-29,10104,0.02803029492497444,13.569999694824219,5146714.0
3378111,2005-08-31,10104,-0.042741335928440094,12.989999771118164,5149000.0
3383794,2005-09-30,10104,-0.045419566333293915,12.399999618530273,5151824.0
3391673,2005-10-31,10104,0.022580701857805252,12.680000305175781,5151824.0
3398635,2005-11-30,10104,-0.006309141870588064,12.600000381469727,5154000.0
3404168,2005-12-30,10104,-0.03095240704715252,12.210000038146973,5162025.0
3415931,2006-01-31,10104,0.02948400191962719,12.569999694824219,5162025.0
3423280,2006-02-28,10104,-0.011933144181966782,12.420000076293945,5312000.0
3429655,2006-03-31,10104,0.10225439071655273,13.6899995803833,5312000.0
3434234,2006-04-28,10104,0.06574146449565887,14.59000015258789,5334663.0
